2022-10-22 03:46:47, Epoch: [5 / 90], step: [650 / 900], loss: 0.054772884, lr: 0.0009949981
2022-10-22 03:47:20, Epoch: [5 / 90], step: [700 / 900], loss: 0.037112925, lr: 0.0009948604
2022-10-22 03:47:53, Epoch: [5 / 90], step: [750 / 900], loss: 0.13736725, lr: 0.0009947208
2022-10-22 03:48:26, Epoch: [5 / 90], step: [800 / 900], loss: 0.034992963, lr: 0.0009945794
2022-10-22 03:48:59, Epoch: [5 / 90], step: [850 / 900], loss: 0.047195524, lr: 0.0009944361
    background: 99.90, kidney: 94.52 
2022-10-22 03:50:39, Epoch: [6 / 90], step: [0 / 900], loss: 0.06123734, lr: 0.0009942908
2022-10-22 03:51:12, Epoch: [6 / 90], step: [50 / 900], loss: 0.0657579, lr: 0.0009941438
2022-10-22 03:51:45, Epoch: [6 / 90], step: [100 / 900], loss: 0.052719478, lr: 0.0009939949
2022-10-22 03:52:17, Epoch: [6 / 90], step: [150 / 900], loss: 0.045442984, lr: 0.0009938441
2022-10-22 03:52:50, Epoch: [6 / 90], step: [200 / 900], loss: 0.040894825, lr: 0.0009936915
2022-10-22 03:53:22, Epoch: [6 / 90], step: [250 / 900], loss: 0.052924495, lr: 0.0009935371
2022-10-22 03:53:55, Epoch: [6 / 90], step: [300 / 900], loss: 0.03214525, lr: 0.0009933808
2022-10-22 03:54:27, Epoch: [6 / 90], step: [350 / 900], loss: 0.07463219, lr: 0.0009932226
2022-10-22 03:54:59, Epoch: [6 / 90], step: [400 / 900], loss: 0.032962848, lr: 0.0009930625
2022-10-22 03:55:32, Epoch: [6 / 90], step: [450 / 900], loss: 0.0378839, lr: 0.0009929007
2022-10-22 03:56:04, Epoch: [6 / 90], step: [500 / 900], loss: 0.033240028, lr: 0.0009927369
2022-10-22 03:56:37, Epoch: [6 / 90], step: [550 / 900], loss: 0.053301994, lr: 0.0009925714
2022-10-22 03:57:10, Epoch: [6 / 90], step: [600 / 900], loss: 0.045001693, lr: 0.0009924038
2022-10-22 03:57:42, Epoch: [6 / 90], step: [650 / 900], loss: 0.052171454, lr: 0.0009922346
2022-10-22 03:58:15, Epoch: [6 / 90], step: [700 / 900], loss: 0.051197506, lr: 0.0009920634
2022-10-22 03:58:47, Epoch: [6 / 90], step: [750 / 900], loss: 0.04160355, lr: 0.0009918904
2022-10-22 03:59:20, Epoch: [6 / 90], step: [800 / 900], loss: 0.04360475, lr: 0.0009917156
2022-10-22 03:59:52, Epoch: [6 / 90], step: [850 / 900], loss: 0.045309067, lr: 0.0009915389
    background: 99.91, kidney: 95.15 
2022-10-22 04:01:33, Epoch: [7 / 90], step: [0 / 900], loss: 0.033165403, lr: 0.0009913603
2022-10-22 04:02:06, Epoch: [7 / 90], step: [50 / 900], loss: 0.0395239, lr: 0.00099118
2022-10-22 04:02:40, Epoch: [7 / 90], step: [100 / 900], loss: 0.038681492, lr: 0.0009909977
2022-10-22 04:03:13, Epoch: [7 / 90], step: [150 / 900], loss: 0.042040832, lr: 0.0009908136
2022-10-22 04:03:45, Epoch: [7 / 90], step: [200 / 900], loss: 0.051344033, lr: 0.0009906277
2022-10-22 04:04:18, Epoch: [7 / 90], step: [250 / 900], loss: 0.03857489, lr: 0.0009904399
2022-10-22 04:04:50, Epoch: [7 / 90], step: [300 / 900], loss: 0.060079303, lr: 0.0009902503
2022-10-22 04:05:23, Epoch: [7 / 90], step: [350 / 900], loss: 0.038164187, lr: 0.0009900588
2022-10-22 04:05:55, Epoch: [7 / 90], step: [400 / 900], loss: 0.06302312, lr: 0.0009898655
2022-10-22 04:06:28, Epoch: [7 / 90], step: [450 / 900], loss: 0.034829058, lr: 0.0009896703
2022-10-22 04:07:00, Epoch: [7 / 90], step: [500 / 900], loss: 0.033567883, lr: 0.0009894733
2022-10-22 04:07:32, Epoch: [7 / 90], step: [550 / 900], loss: 0.040711887, lr: 0.0009892745
2022-10-22 04:08:04, Epoch: [7 / 90], step: [600 / 900], loss: 0.0347924, lr: 0.0009890738
2022-10-22 04:08:37, Epoch: [7 / 90], step: [650 / 900], loss: 0.031827647, lr: 0.0009888713
2022-10-22 04:09:09, Epoch: [7 / 90], step: [700 / 900], loss: 0.03381122, lr: 0.0009886669
2022-10-22 04:09:41, Epoch: [7 / 90], step: [750 / 900], loss: 0.041437205, lr: 0.0009884607
2022-10-22 04:10:14, Epoch: [7 / 90], step: [800 / 900], loss: 0.033251118, lr: 0.0009882527
2022-10-22 04:10:46, Epoch: [7 / 90], step: [850 / 900], loss: 0.046674073, lr: 0.0009880428
    background: 99.90, kidney: 94.75 
2022-10-22 04:12:26, Epoch: [8 / 90], step: [0 / 900], loss: 0.03779711, lr: 0.0009878312
2022-10-22 04:12:59, Epoch: [8 / 90], step: [50 / 900], loss: 0.031488508, lr: 0.0009876176
2022-10-22 04:13:32, Epoch: [8 / 90], step: [100 / 900], loss: 0.039256413, lr: 0.0009874023
2022-10-22 04:14:04, Epoch: [8 / 90], step: [150 / 900], loss: 0.045140687, lr: 0.000987185
2022-10-22 04:14:37, Epoch: [8 / 90], step: [200 / 900], loss: 0.03123511, lr: 0.000986966
2022-10-22 04:15:09, Epoch: [8 / 90], step: [250 / 900], loss: 0.044487916, lr: 0.0009867451
2022-10-22 04:15:42, Epoch: [8 / 90], step: [300 / 900], loss: 0.03608971, lr: 0.0009865224
2022-10-22 04:16:14, Epoch: [8 / 90], step: [350 / 900], loss: 0.02979745, lr: 0.000986298
2022-10-22 04:16:47, Epoch: [8 / 90], step: [400 / 900], loss: 0.04294604, lr: 0.0009860715
2022-10-22 04:17:19, Epoch: [8 / 90], step: [450 / 900], loss: 0.03283429, lr: 0.0009858434
2022-10-22 04:17:51, Epoch: [8 / 90], step: [500 / 900], loss: 0.032111958, lr: 0.0009856133
2022-10-22 04:18:24, Epoch: [8 / 90], step: [550 / 900], loss: 0.039145138, lr: 0.0009853815
2022-10-22 04:18:56, Epoch: [8 / 90], step: [600 / 900], loss: 0.036579512, lr: 0.0009851479
2022-10-22 04:19:29, Epoch: [8 / 90], step: [650 / 900], loss: 0.03609793, lr: 0.0009849124
2022-10-22 04:20:01, Epoch: [8 / 90], step: [700 / 900], loss: 0.02695755, lr: 0.000984675
2022-10-22 04:20:34, Epoch: [8 / 90], step: [750 / 900], loss: 0.031605322, lr: 0.0009844359
2022-10-22 04:21:06, Epoch: [8 / 90], step: [800 / 900], loss: 0.03015558, lr: 0.000984195
2022-10-22 04:21:39, Epoch: [8 / 90], step: [850 / 900], loss: 0.041034408, lr: 0.0009839522
    background: 99.91, kidney: 95.07 
2022-10-22 04:23:19, Epoch: [9 / 90], step: [0 / 900], loss: 0.039382197, lr: 0.0009837076
2022-10-22 04:23:52, Epoch: [9 / 90], step: [50 / 900], loss: 0.03349567, lr: 0.0009834612
2022-10-22 04:24:26, Epoch: [9 / 90], step: [100 / 900], loss: 0.03366447, lr: 0.000983213
2022-10-22 04:25:00, Epoch: [9 / 90], step: [150 / 900], loss: 0.038303476, lr: 0.0009829629
2022-10-22 04:25:33, Epoch: [9 / 90], step: [200 / 900], loss: 0.045619953, lr: 0.0009827111
2022-10-22 04:26:05, Epoch: [9 / 90], step: [250 / 900], loss: 0.029411985, lr: 0.0009824574
2022-10-22 04:26:37, Epoch: [9 / 90], step: [300 / 900], loss: 0.04171943, lr: 0.0009822019
2022-10-22 04:27:09, Epoch: [9 / 90], step: [350 / 900], loss: 0.03357631, lr: 0.0009819446
2022-10-22 04:27:42, Epoch: [9 / 90], step: [400 / 900], loss: 0.036505997, lr: 0.0009816855
2022-10-22 04:28:14, Epoch: [9 / 90], step: [450 / 900], loss: 0.035971016, lr: 0.0009814245
2022-10-22 04:28:46, Epoch: [9 / 90], step: [500 / 900], loss: 0.034907423, lr: 0.0009811617
2022-10-22 04:29:19, Epoch: [9 / 90], step: [550 / 900], loss: 0.048609238, lr: 0.0009808972
2022-10-22 04:29:52, Epoch: [9 / 90], step: [600 / 900], loss: 0.029875169, lr: 0.0009806309
2022-10-22 04:30:25, Epoch: [9 / 90], step: [650 / 900], loss: 0.035523746, lr: 0.0009803626
2022-10-22 04:30:59, Epoch: [9 / 90], step: [700 / 900], loss: 0.030397585, lr: 0.0009800927
2022-10-22 04:31:31, Epoch: [9 / 90], step: [750 / 900], loss: 0.040148187, lr: 0.000979821
2022-10-22 04:32:05, Epoch: [9 / 90], step: [800 / 900], loss: 0.034386568, lr: 0.0009795474
2022-10-22 04:32:37, Epoch: [9 / 90], step: [850 / 900], loss: 0.035055187, lr: 0.000979272
    background: 99.91, kidney: 95.21 
2022-10-22 04:34:18, Epoch: [10 / 90], step: [0 / 900], loss: 0.033793423, lr: 0.0009789948
2022-10-22 04:34:50, Epoch: [10 / 90], step: [50 / 900], loss: 0.033329744, lr: 0.0009787157
2022-10-22 04:35:23, Epoch: [10 / 90], step: [100 / 900], loss: 0.04041924, lr: 0.0009784349
2022-10-22 04:35:55, Epoch: [10 / 90], step: [150 / 900], loss: 0.037124693, lr: 0.0009781524
2022-10-22 04:36:28, Epoch: [10 / 90], step: [200 / 900], loss: 0.039816156, lr: 0.000977868
2022-10-22 04:37:00, Epoch: [10 / 90], step: [250 / 900], loss: 0.045132667, lr: 0.0009775818
2022-10-22 04:37:33, Epoch: [10 / 90], step: [300 / 900], loss: 0.039892223, lr: 0.0009772938
2022-10-22 04:38:06, Epoch: [10 / 90], step: [350 / 900], loss: 0.036745064, lr: 0.0009770041
2022-10-22 04:38:39, Epoch: [10 / 90], step: [400 / 900], loss: 0.047774523, lr: 0.0009767124
2022-10-22 04:39:12, Epoch: [10 / 90], step: [450 / 900], loss: 0.06872938, lr: 0.0009764191
2022-10-22 04:39:44, Epoch: [10 / 90], step: [500 / 900], loss: 0.054428127, lr: 0.00097612396
2022-10-22 04:40:17, Epoch: [10 / 90], step: [550 / 900], loss: 0.044673644, lr: 0.000975827
2022-10-22 04:40:49, Epoch: [10 / 90], step: [600 / 900], loss: 0.051482543, lr: 0.00097552827
2022-10-22 04:41:22, Epoch: [10 / 90], step: [650 / 900], loss: 0.0669711, lr: 0.00097522774
2022-10-22 04:41:55, Epoch: [10 / 90], step: [700 / 900], loss: 0.06899853, lr: 0.0009749254
2022-10-22 04:42:28, Epoch: [10 / 90], step: [750 / 900], loss: 0.17300703, lr: 0.00097462133
2022-10-22 04:43:00, Epoch: [10 / 90], step: [800 / 900], loss: 0.039534714, lr: 0.00097431545
2022-10-22 04:43:33, Epoch: [10 / 90], step: [850 / 900], loss: 0.08803317, lr: 0.00097400777
    background: 99.89, kidney: 93.84 
2022-10-22 04:45:14, Epoch: [11 / 90], step: [0 / 900], loss: 0.044338997, lr: 0.00097369833
2022-10-22 04:45:47, Epoch: [11 / 90], step: [50 / 900], loss: 0.041652825, lr: 0.0009733871
2022-10-22 04:46:19, Epoch: [11 / 90], step: [100 / 900], loss: 0.07825955, lr: 0.00097307406
2022-10-22 04:46:52, Epoch: [11 / 90], step: [150 / 900], loss: 0.04167802, lr: 0.00097275927
2022-10-22 04:47:25, Epoch: [11 / 90], step: [200 / 900], loss: 0.034102716, lr: 0.00097244274
2022-10-22 04:47:57, Epoch: [11 / 90], step: [250 / 900], loss: 0.049541987, lr: 0.0009721244
